1 , 4.03
2 , 4.15
1 , 4.02
2 , 4.15
1 , 4.01
2 , 4.15
2 , 4.16
1 , 4.01
1 , 4.01
2 , 4.15
1 , 3.98
2 , 4.13
2 , 4.14
1 , 4.0
2 , 4.16
1 , 3.97
1 , 4.0
2 , 4.16
1 , 4.0
2 , 4.15
1 , 3.99
2 , 4.15
2 , 4.15
1 , 4.04
1 , 3.99
2 , 4.15
1 , 4.01
2 , 4.16
1 , 4.0
2 , 4.13
2 , 4.15
1 , 4.01
1 , 3.99
2 , 4.14
1 , 4.04
2 , 4.16
1 , 4.01
2 , 4.17
2 , 4.15
1 , 3.98
2 , 4.14
1 , 3.98
1 , 3.99
2 , 4.15
1 , 4.02
2 , 4.16
1 , 4.01
2 , 4.15
1 , 3.99
2 , 4.12
1 , 4.0
2 , 4.15
1 , 3.99
2 , 4.15
2 , 4.16
1 , 4.05
1 , 4.04
2 , 4.14
1 , 3.98
2 , 4.15
1 , 3.96
2 , 4.14
1 , 4.02
2 , 4.13
1 , 4.03
2 , 4.16
1 , 4.02
2 , 4.15
1 , 4.01
2 , 4.12
1 , 4.04
2 , 4.15
1 , 4.01
2 , 4.14
1 , 3.99
2 , 4.14
1 , 4.0
2 , 4.14
1 , 3.99
2 , 4.14
2 , 4.14
1 , 3.99
1 , 3.99
2 , 4.15
1 , 4.02
2 , 4.15
1 , 4.04
2 , 4.15
1 , 4.02
2 , 4.13
1 , 4.01
2 , 4.14
1 , 4.0
2 , 4.13
1 , 3.97
2 , 4.15
2 , 4.15
1 , 4.01
2 , 4.14
1 , 4.02
1 , 3.99
2 , 4.14
1 , 4.0
2 , 4.17
1 , 4.03
2 , 4.15
1 , 3.98
2 , 4.14
1 , 4.03
2 , 4.14
1 , 3.98
2 , 4.15
2 , 4.16
1 , 3.97
1 , 4.01
2 , 4.15
1 , 4.02
2 , 4.17
1 , 3.98
2 , 4.14
1 , 3.99
2 , 4.14
1 , 4.04
2 , 4.16
1 , 3.99
2 , 4.15
1 , 4.0
2 , 4.13
1 , 4.0
2 , 4.15
1 , 3.98
2 , 4.15
1 , 4.01
2 , 4.14
1 , 4.03
2 , 4.15
1 , 4.04
2 , 4.16
1 , 4.03
2 , 4.14
1 , 4.01
2 , 4.16
1 , 4.02
2 , 4.16
1 , 4.02
2 , 4.15
1 , 4.01
2 , 4.15
1 , 4.04
2 , 4.15
1 , 3.99
2 , 4.15
1 , 3.98
2 , 4.15
1 , 4.03
2 , 4.13
1 , 3.99
2 , 4.15
1 , 4.0
2 , 4.16
1 , 3.99
2 , 4.15
2 , 4.12
1 , 4.04
2 , 4.12
1 , 4.01
1 , 4.0
2 , 4.15
1 , 4.04
2 , 4.15
1 , 4.04
2 , 4.15
1 , 4.02
2 , 4.14
1 , 4.02
2 , 4.15
1 , 3.98
2 , 4.15
2 , 4.17
1 , 4.02
2 , 4.14
1 , 4.01
1 , 4.0
2 , 4.14
1 , 4.0
2 , 4.15
1 , 4.03
2 , 4.16
1 , 4.03
2 , 4.13
1 , 4.01
2 , 4.14
1 , 4.02
2 , 4.17
1 , 4.01
2 , 4.15
1 , 4.0
2 , 4.15
1 , 3.99
2 , 4.14
1 , 3.97
2 , 4.14
1 , 4.0
2 , 4.17
1 , 4.02
2 , 4.16
2 , 4.15
1 , 4.04
1 , 3.94
2 , 4.15
1 , 4.03
2 , 4.15
1 , 3.99
2 , 4.13
1 , 3.99
2 , 4.13
1 , 3.99
2 , 4.15
1 , 3.98
2 , 4.16
1 , 4.04
2 , 4.15
1 , 3.96
2 , 4.15
1 , 4.01
2 , 4.14
1 , 3.99
2 , 4.17
1 , 3.99
2 , 4.15
2 , 4.12
1 , 4.0
1 , 4.01
2 , 4.12
1 , 4.01
2 , 4.14
1 , 4.02
2 , 4.16
2 , 4.16
1 , 4.0
1 , 4.01
2 , 4.15
2 , 4.14
1 , 3.99
2 , 4.19
1 , 3.99
2 , 4.17
1 , 4.02
2 , 4.16
1 , 4.01
2 , 4.17
1 , 4.04
2 , 4.15
2 , 4.16
1 , 3.98
1 , 3.99
2 , 4.16
1 , 4.03
2 , 4.13
1 , 4.03
2 , 4.15
1 , 3.99
2 , 4.13
1 , 4.04
2 , 4.12
1 , 4.01
2 , 4.15
1 , 4.02
2 , 4.15
2 , 4.16
1 , 3.99
1 , 4.02
2 , 4.14
1 , 4.01
